t,Y
0.0,0.9551709443015112
0.5,0.7905269651173219
1.0,0.5900511690387282
1.5,0.46532846610455586
2.0,0.3787459644927302
2.5,0.2647881585223194
3.0,0.2435841755189144
3.5,0.21098882074700842
4.0,0.14795321017374544
4.5,0.10787426851638696
5.0,0.09758341185074652
5.5,0.07154706538691874
6.0,0.052179337229665855
6.5,0.010197677628602436
7.0,0.04443583276890635
7.5,0.04530582590102099
8.0,0.045176525683870775
8.5,0.014152094040859167
9.0,0.015761490401574058
9.5,0.010519463865543588
10.0,0.046506381964207325
