t,Y
0,1
0.050505051,0.984309867
0.101010101,0.96891014
0.151515152,0.953795081
0.202020202,0.938959069
0.252525253,0.924396601
0.303030303,0.910102284
0.353535354,0.896070835
0.404040404,0.88229708
0.454545455,0.86877595
0.505050505,0.85550248
0.555555556,0.842471805
0.606060606,0.829679161
0.656565657,0.817119879
0.707070707,0.804789387
0.757575758,0.792683204
0.808080808,0.780796943
0.858585859,0.769126302
0.909090909,0.75766707
0.95959596,0.746415121
1.01010101,0.735366412
1.060606061,0.724516981
1.111111111,0.713862948
1.161616162,0.703400511
1.212121212,0.693125946
1.262626263,0.683035603
1.313131313,0.673125906
1.363636364,0.663393352
1.414141414,0.653834509
1.464646465,0.644446014
1.515151515,0.635224571
1.565656566,0.626166952
1.616161616,0.617269994
1.666666667,0.608530596
1.717171717,0.599945721
1.767676768,0.591512393
1.818181818,0.583227697
1.868686869,0.575088774
1.919191919,0.567092824
1.96969697,0.559237104
2.02020202,0.551518924
2.070707071,0.543935651
2.121212121,0.536484702
2.171717172,0.529163547
2.222222222,0.521969707
2.272727273,0.514900752
2.323232323,0.5079543
2.373737374,0.501128019
2.424242424,0.494419621
2.474747475,0.487826866
2.525252525,0.481347556
2.575757576,0.47497954
2.626262626,0.468720707
2.676767677,0.46256899
2.727272727,0.456522363
2.777777778,0.450578839
2.828282828,0.444736472
2.878787879,0.438993354
2.929292929,0.433347615
2.97979798,0.427797422
3.03030303,0.422340978
3.080808081,0.416976523
3.131313131,0.411702331
3.181818182,0.40651671
3.232323232,0.401418002
3.282828283,0.39640458
3.333333333,0.391474853
3.383838384,0.386627257
3.434343434,0.381860262
3.484848485,0.377172367
3.535353535,0.3725621
3.585858586,0.36802802
3.636363636,0.363568712
3.686868687,0.35918279
3.737373737,0.354868896
3.787878788,0.350625697
3.838383838,0.346451887
3.888888889,0.342346186
3.939393939,0.338307338
3.98989899,0.334334113
4.04040404,0.330425304
4.090909091,0.326579729
4.141414141,0.322796226
4.191919192,0.31907366
4.242424242,0.315410914
4.292929293,0.311806896
4.343434343,0.308260533
4.393939394,0.304770775
4.444444444,0.301336591
4.494949495,0.29795697
4.545454545,0.294630921
4.595959596,0.291357472
4.646464646,0.288135671
4.696969697,0.284964582
4.747474747,0.28184329
4.797979798,0.278770897
4.848484848,0.275746519
4.898989899,0.272769295
4.949494949,0.269838375
5,0.266952929
